index,Rank,Website,Category,AVG minutes
246,47,memedroid.com,Arts & Entertainment > Humor,3.6166666666666667
247,48,refresher.sk,Arts & Entertainment > Humor,0.3333333333333333
248,49,atom.com,Arts & Entertainment > Humor,3.0833333333333335
249,50,webfail.com,Arts & Entertainment > Humor,3.033333333333333
251,2,genius.com,Arts & Entertainment > Music,2.25
252,3,soundcloud.com,Arts & Entertainment > Music,6.283333333333333
253,4,npr.org,Arts & Entertainment > Music,2.0166666666666666
254,5,music.yandex.ru,Arts & Entertainment > Music,3.9333333333333336
255,6,y2mate.nu,Arts & Entertainment > Music,4.166666666666667
256,7,hitmotop.com,Arts & Entertainment > Music,4.766666666666667
257,8,ultimate-guitar.com,Arts & Entertainment > Music,5.35
258,9,letras.mus.br,Arts & Entertainment > Music,2.6166666666666667
259,10,letras.com,Arts & Entertainment > Music,1.9166666666666665
260,11,discogs.com,Arts & Entertainment > Music,9.183333333333334
262,13,mnuu.nu,Arts & Entertainment > Music,4.116666666666666
263,14,radio-canada.ca,Arts & Entertainment > Music,3.3666666666666667
264,15,last.fm,Arts & Entertainment > Music,4.65
265,16,bandcamp.com,Arts & Entertainment > Music,4.366666666666666
266,17,radiko.jp,Arts & Entertainment > Music,6.133333333333334
267,18,cadenaser.com,Arts & Entertainment > Music,2.6166666666666667
268,19,iheart.com,Arts & Entertainment > Music,2.4
269,20,uta-net.com,Arts & Entertainment > Music,3.0833333333333335
270,21,radiofrance.fr,Arts & Entertainment > Music,1.7166666666666668
271,22,billboard.com,Arts & Entertainment > Music,1.4833333333333334
272,23,gaana.com,Arts & Entertainment > Music,1.2166666666666668
273,24,bandsintown.com,Arts & Entertainment > Music,1.1
275,26,deezer.com,Arts & Entertainment > Music,3.8833333333333333
276,27,jiosaavn.com,Arts & Entertainment > Music,1.0333333333333334
277,28,rollingstone.com,Arts & Entertainment > Music,1.2166666666666668
278,29,music.163.com,Arts & Entertainment > Music,2.533333333333333
279,30,siriusxm.com,Arts & Entertainment > Music,2.6333333333333333
280,31,worldstarhiphop.com,Arts & Entertainment > Music,5.566666666666666
